ability_1,ability_2,win_rate
Freezing Field,Time Walk,48.73
Mana Break,Swashbuckle,52.87
Tidebringer,True Form,62.42
Dream Coil,Bash of the Deep,46.18
Ember Spirit,Coup de Grace,42.68
Rubick,Magic Missile,51.59
Crystal Maiden,Impetus,45.22
Windranger,Juxtapose,51.91
Clinkz,Corrosive Weaponry,35.14
Grimstroke,Arcane Supremacy,56.23
Jakiro,Nightmare,45.69
Blade Fury,Black Hole,55.27
Sand Storm,Death Ward,51.76
Monkey King,Chemical Rage,58.79
Kraken Shell,Untouchable,45.05
Sniper,Bloodlust,58.47
Battle Hunger,Aftershock,49.2
Troll Warlord,Chaos Strike,45.37
Dark Willow,Focus Fire Facet,41.35
Pugna,Infernal Blade,57.05
Medusa,Inner Beast,53.85
Oracle,Avalanche,62.18
Pudge,Blade Fury,56.09
Disruptor,Cloak and Dagger,53.53
Presence of the Dark Lord,Coup de Grace,48.72
Slark,Immaterial,49.36
Storm Spirit,Arc Lightning,52.56
Muerta,Immaterial,57.05
Keeper of the Light,Sacred Arrow,49.36
Thundergod's Wrath,Powershot,49.04
Gyrocopter,Astral Spirit,66.03
Frost Arrows,Focus Fire Facet,40.71
Diabolic Edict,Shukuchi,56.73
Croak of Genius,Finger of Death,43.27
Nature's Prophet,Searing Arrows,48.08
Torrent,Light Strike Array,58.97
Legion Commander,Tree Grab,49.04
Tidehunter,True Form,56.59
Shadow Demon,Focus Fire Facet,47.91
Defense Matrix,March of the Machines,34.41
Terrorblade,Time Lock,53.7
Hoodwink,Bodyguard,65.92
Tinker,Light Strike Array,54.98
Juggernaut,Time Lock,50.8
Vengeance Aura,Macropyre,61.09
Requiem of Souls,Electric Vortex,60.13
Finger of Death,Fatal Bonds,38.26
Enchantress,Poison Attack,51.45
Outworld Devourer,Glaives of Wisdom,59.16
Dragon Knight,Berserker's Call,63.67
Medusa,Bloodrage,59.49
Shadow Shaman,Meat Hook,56.59
Slark,Dragon Tail,51.13
Rubick,Nether Blast,48.87
Huskar,Wild Axes,49.2
Morphling,Thundergod's Wrath,54.19
Arc Warden,Headshot,43.23
Gyrocopter,Refraction,60.97
Torrent,Rearm,39.03
Ogre Magi,Grow,45.81
Frogstomp,Frostbite,52.26
Pugna,Black Hole,51.94
Leshrac,Crystal Nova,58.71
Ogre Magi,Untouchable,55.48
Enchantress,Focus Fire Facet,47.42
Slark,Tree Grab,45.48
Medusa,Storm Surge,53.55
Leshrac,Sand Storm,56.77
Mirana,Heavenly Jump,43.55
Terrorblade,Chemical Rage,51.29
Dismember,Charge of Darkness,51.94
Vengeance Aura,Shadow Strike,52.58
Deluge,Juxtapose,50.65
Monkey King,Ghoul Frenzy,54.19
Strafe,Fury Swipes,54.19
Necrophos,Rot,42.58
Bodyguard,Marksmanship,60.0
Keeper of the Light,Powershot,48.87
Earth Spirit,Dispersion,60.52
Riki,Great Cleave,38.51
Sniper,Grow,53.4
Skywrath Mage,Mind Flare,43.37
Chen,Arc Lightning,45.31
Bloodrage,Elder Dragon Form,39.81
Pugna,Cloak and Dagger,55.02
Insatiable Hunger,Flak Cannon,59.22
Nature's Prophet,Shackleshot,51.78
Pugna,Mana Drain,43.04
Lina,Wild Axes,57.93
Primal Beast,Enchant Totem,54.05
Oracle,Reaper's Scythe,47.57
Warlock,Shrapnel,53.4
Diabolic Edict,Sticky Napalm,48.54
Ancient Apparition,Strafe,45.63
Lifestealer,Lunar Orbit,60.52
Bloodseeker,Phantom Strike,56.82
Reincarnation,Corrosive Skin,64.61
Troll Warlord,Geminate Attack,46.75
Mirana,Doppelganger,48.05
Frost Arrows,Dream Coil,52.27
Blade Fury,Life Break,57.47
Dawnbreaker,Grow,48.05
Mars,Berserker's Blood,57.79
Tree Grab,Anchor Smash,57.47
Hoodwink,Wukong's Command,66.88
Skywrath Mage,Finger of Death,39.61
Bloodrage,Time Lock,46.75
Phoenix,Corrosive Skin,54.55
Nature's Prophet,Refraction,50.65
Pangolier,Mana Break,52.6
Medusa,Bash of the Deep,63.64
Muerta,Mana Break,50.0
Grimstroke,Earth Spike,53.9
Wraithfire Blast,Magic Missile,48.7
Chen,Poison Attack,51.95
Powershot,Rearm,40.91
Gush,Laser,51.95
Nightmare,Fury Swipes,53.25
Enigma,Electric Vortex,46.43
Chaos Knight,Doppelganger,47.56
Lina,Shadow Word,54.07
Blade Dance,God's Strength,51.47
Shadow Demon,Poison Attack,51.79
Ghost Shroud,Pulse Nova,49.51
Muerta,Elder Dragon Form,44.95
Vengeance Aura,Black Hole,64.82
Repel,Rot,56.68
Pudge,Lunar Orbit,50.49
Primal Beast,Windrun,60.59
Uproar,Reincarnation,57.33
Invoker,Assassinate,49.19
Phantom Rush,Great Cleave,44.95
Counter Helix,Life Break,57.65
Powershot,Cloak and Dagger,54.07
Mars,Natural Order,63.19
Shadow Step,Moon Glaives,48.86
Thirst,Eye of the Storm,61.24
Pudge,Trample,48.21
Disruption,Shadow Poison,50.65
Focus Fire Facet,Impetus,44.12
Oracle,Gush,51.31
Arc Warden,Chaos Strike,51.63
Morphling,Lucent Beam,49.02
Earth Spike,Shadowraze,55.56
Gyrocopter,Dark Ascension,59.8
Grimstroke,Storm Hammer,52.61
Tinker,Lightning Bolt,53.59
Skywrath Mage,Gush,52.61
Tidehunter,Berserker's Call,59.15
Electric Vortex,Death Ward,50.98
Frostbite,Split Earth,48.04
Skywrath Mage,Wild Axes,51.63
Magnus,Blink Strike,47.39
Bodyguard,Tree Grab,56.86
Muerta,Fury Swipes,60.78
Outworld Devourer,Frostbite,58.17
Brewmaster,Great Cleave,44.26
Huskar,Overload,45.57
Ember Spirit,God's Strength,44.92
Tricks of the Trade,Moon Glaives,48.2
Ravage,Magic Missile,54.75
Mirana,Wyrm's Wrath,44.92
Pugna,Magic Missile,58.69
Meat Hook,Shackles,53.77
Skywrath Mage,Decrepify,43.61
Omniknight,Berserker's Blood,64.59
Elder Titan,Tree Grab,46.89
Nature's Prophet,Immaterial,54.1
Marksmanship,Psi Blades,52.13
Eye of the Storm,Corrosive Skin,56.39
Venomancer,Fiend's Grip,60.86
Shadow Shaman,Vengeance Aura,59.54
Storm Surge,Dispersion,53.62
Arc Warden,Wyrm's Wrath,51.97
Mortal Strike,Anchor Smash,57.24
Techies,Ball Lightning,58.55
Pulverize,Time Walk,54.93
Nature's Prophet,Heavenly Jump,50.99
Bounty Hunter,Assassinate,38.82
Techies,Focus Fire Facet,46.71
Slithereen Crush,Shukuchi,58.55
Snapfire,Searing Arrows,50.0
Shadow Fiend,Shadow Step,55.26
Electric Vortex,Vengeance Aura,54.61
Rearm,Bramble Maze,49.67
Terrorblade,Mirror Image,57.57
Fiend's Gate,Atrophy Aura,51.64
God's Strength,Moon Glaives,60.53
Blade Fury,Ion Shell,55.92
Oracle,Meat Hook,50.66
Waveform,Black Hole,50.66
Frost Shield,Rearm,43.09
Phantom Rush,Mana Break,44.41
Arc Warden,Dark Ascension,50.66
Ravage,Time Walk,63.82
Nature's Prophet,Wyrm's Wrath,51.32
Dragon Knight,Great Cleave,56.11
Huskar,Gush,52.48
Bodyguard,Moon Glaives,65.02
Tinker,Storm Hammer,57.1
Blink,Toss,48.84
Arc Warden,Frost Arrows,46.53
Jakiro,Juxtapose,52.81
Lightning Bolt,Powershot,52.15
Earth Spirit,Rot,54.13
Berserker's Blood,True Form,53.47
Frostbite,Chain Frost,59.08
Doom,Dispersion,58.09
Drow Ranger,Conjure Image,60.4
Dragon Knight,True Form,60.4
Troll Warlord,Moon Glaives,51.16
Rubick,Rearm,47.19
Medusa,Arcane Orb,71.62
Focus Fire Facet,Greater Bash,42.05
Crystal Maiden,Glaives of Wisdom,46.36
Blade Fury,Scorched Earth,52.98
Monkey King,Mortal Strike,46.36
Muerta,Overcharge,45.7
Muerta,Wyrm's Wrath,50.33
Morphling,Finger of Death,48.01
Visage,Powershot,43.05
Grimstroke,Decrepify,48.68
Leshrac,Nether Blast,53.31
Primal Beast,Thirst,56.29
Lightning Bolt,Cloak and Dagger,56.62
Strafe,Dream Coil,44.37
Largo,Meat Hook,48.34
Mind Flare,Assassinate,44.7
Alchemist,Anchor Smash,44.04
Outworld Devourer,Rearm,42.72
Timbersaw,Dispersion,58.94
Muerta,Heavenly Jump,49.67
Tree Grab,Tricks of the Trade,42.72
Snapfire,Corrosive Haze,52.65
Medusa,Time Lapse,56.62
Burrowstrike,Black Hole,52.98
Pudge,Berserker's Call,55.3
Sticky Napalm,Scorched Earth,48.34
Blink,Berserker's Call,49.34
Earth Spike,Paralyzing Cask,56.62
Vengeful Spirit,Bodyguard,55.63
Clinkz,Frost Arrows,40.4
Invoker,Poison Attack,46.69
Drow Ranger,Guardian Sprint,59.14
Zeus,Powershot,46.84
Shackles,Sticky Napalm,47.51
Outworld Devourer,Assassinate,55.15
Trample,Charge of Darkness,48.84
God's Strength,Flak Cannon,57.14
Medusa,Astral Imprisonment,51.83
Drow Ranger,Juxtapose,58.47
Sticky Napalm,Flame Guard,53.82
Astral Spirit,God's Strength,46.51
Terrorblade,Reality Rift,59.8
Dispose,Unleash,42.19
Immaterial,Marksmanship,56.81
Tusk,Stifling Dagger,50.83
Ogre Magi,Exorcism,52.49
Mirana,Geminate Attack,49.17
Uproar,Berserker's Call,58.14
Gyrocopter,Wyrm's Wrath,55.48
Slark,Lunar Orbit,49.83
Undying,Ravage,48.5
Void Spirit,Slithereen Crush,59.8
Jakiro,Penitence,42.52
Trample,Skewer,47.84
Earth Spike,Ravage,55.48
Lion,Decrepify,44.33
Gyrocopter,Insatiable Hunger,64.0
Rot,Eye of the Storm,48.33
Mirana,Frost Arrows,44.33
Drow Ranger,Presence of the Dark Lord,58.67
Sniper,Unknown Ability #1519,60.67
Mirana,Immaterial,52.33
Ember Spirit,Blade Fury,53.67
Queen of Pain,Infernal Blade,51.33
Sand King,Blink,46.0
Mars,Tree Grab,55.33
Feast of Souls,Coup de Grace,45.67
Pudge,Life Break,50.0
Bodyguard,Elder Dragon Form,54.0
Silencer,Mind Flare,47.0
Slithereen Crush,Phantom Strike,52.33
Death Prophet,Bash of the Deep,49.33
Rubick,Chain Frost,58.33
Corrosive Weaponry,Frost Arrows,46.0
Sniper,Wall of Replica,54.33
Lunar Orbit,Eclipse,43.33
Exorcism,Tricks of the Trade,47.0
Witch Doctor,Storm Hammer,49.67
Nature's Prophet,Arc Lightning,51.17
Skywrath Mage,Avalanche,52.84
Hoodwink,Grow,49.16
Astral Spirit,Elder Dragon Form,47.16
Strafe,Moon Glaives,44.48
Viper,Saltwater Shiv,45.82
Eye of the Storm,Heartstopper Aura,51.51
Reincarnation,Dispersion,69.23
Dark Seer,Pulse Nova,50.5
Drow Ranger,Phantasm,69.9
Dark Willow,Bloodrage,46.15
Frostbite,Maledict,51.84
Skywrath Mage,Homing Missile,50.5
Brewmaster,Blade Fury,54.85
Mirana,Blade Dance,44.15
Entangle,Focus Fire Facet,45.82
Queen of Pain,Mana Break,47.16
Focus Fire Facet,Burning Spear,43.48
Lion,Powershot,48.83
Keeper of the Light,Shadowraze,40.13
Rubick,Wrath of Nature,50.17
Marksmanship,Penitence,48.83
Kunkka,Astral Spirit,51.51
Maledict,Cloak and Dagger,59.53
Arc Warden,Doppelganger,55.52
Mana Break,Doppelganger,55.18
Treant Protector,Blink Strike,47.16
Mars,Rot,51.84
Skywrath Mage,Sacred Arrow,50.84
Terrorblade,Phantasm,63.88
Sniper,Surge,57.19
Arc Warden,Inner Beast,49.5
Time Walk,Life Break,53.85
Venomancer,Wyrm's Wrath,42.47
Terrorblade,Chaos Strike,61.74
Rubick,Frostbite,55.03
Enchantress,Strafe,52.01
Monkey King,God's Strength,50.34
Enchant Totem,Corrosive Haze,48.32
Noxious Plague,Battle Hunger,53.36
Luna,Bodyguard,63.76
Jakiro,Guardian Sprint,45.97
Vengeful Spirit,Focus Fire Facet,39.26
Huskar,Shadow Word,45.12
Marksmanship,Presence of the Dark Lord,61.62
Pugna,Impetus,51.52
Dawnbreaker,Tree Grab,52.19
Jakiro,Meld,45.79
Viper,Strafe,45.79
Hammer of Purity,Meld,42.76
Muerta,Bloodrage,48.48
Vengeful Spirit,Mortal Strike,44.44
Chaos Knight,Spirit Lance,41.41
Anchor Smash,True Form,59.26
Dawnbreaker,Blade Fury,53.87
Void Spirit,Diabolic Edict,48.15
Tidehunter,Untouchable,57.24
Primal Beast,Berserker's Call,57.24
Shadow Demon,Glaives of Wisdom,63.3
Ogre Magi,Reincarnation,58.25
Mirana,Bodyguard,51.85
Hoodwink,Juxtapose,56.9
Largo,Blade Fury,64.19
Huskar,Nature's Attendants,53.38
Rot,Ion Shell,48.99
Bloodrage,Thundergod's Wrath,40.54
Tidehunter,Reincarnation,54.39
Pudge,Counter Helix,53.72
Morphling,Brain Sap,53.38
Void Spirit,Dragon Tail,54.73
Blink,Dismember,51.01
Dawnbreaker,Enchant Totem,50.0
Fissure,Assassinate,56.08
Arena Of Blood,Blink,59.8
Dragon Knight,Grow,54.39
Luna,Bash of the Deep,54.73
Phantom Rush,Shadow Step,39.19
Drow Ranger,Mana Break,56.76
Ember Spirit,Blade Dance,43.58
Arc Warden,Bodyguard,58.11
Trample,Grow,48.99
Lion,Fissure,48.65
Tidehunter,Exorcism,60.14
Jakiro,Geminate Attack,47.64
Rot,Life Break,46.62
Shukuchi,Rocket Barrage,60.47
Storm Hammer,Lucent Beam,53.38
Clockwerk,Blink,58.11
Rubick,Shrapnel,49.66
Tree Grab,Shapeshift,53.04
Sniper,Moonlight Shadow,59.46
Headshot,Inner Beast,50.85
Tidehunter,Rot,58.98
Shrapnel,Sticky Napalm,50.17
Huskar,Meat Hook,51.86
Gyrocopter,Saltwater Shiv,52.2
Doppelganger,Moon Glaives,55.59
Windranger,Saltwater Shiv,48.81
Lion,Wraithfire Blast,46.44
Arc Lightning,Inner Beast,48.14
Cloak and Dagger,Laser,56.61
Drow Ranger,Dark Ascension,58.31
Brain Sap,Finger of Death,44.41
Dream Coil,Time Lock,44.41
Skywrath Mage,Lucent Beam,50.17
Burrowstrike,Battery Assault,51.53
Ancient Apparition,Incapacitating Bite,43.39
Magic Missile,Cold Feet,53.9
Warlock,Tombstone,56.61
Focus Fire Facet,Sticky Napalm,47.46
Poison Attack,Poison Touch,46.78
Magnus,Blade Fury,53.56
Void Spirit,Blade Fury,55.59
Torrent,Magic Missile,56.61
Terrorblade,Insatiable Hunger,58.84
Rearm,Vacuum,44.56
Jakiro,Dark Ascension,49.32
Nature's Prophet,Bloodrage,48.64
Heavenly Jump,Focus Fire Facet,45.24
Alchemist,Corrosive Skin,51.02
Mana Break,Haunt,47.28
Necrophos,Crypt Swarm,44.56
Corrosive Skin,Quill Spray,48.3
Arc Warden,Metamorphosis,47.96
Arc Warden,Burning Spear,52.04
Grimstroke,Paralyzing Cask,53.74
Centaur Warrunner,Trample,54.42
Storm Hammer,Split Earth,54.08
Lina,Powershot,49.66
Frogstomp,Cloak and Dagger,54.76
Techies,Untouchable,51.02
Leshrac,Plasma Field,58.5
Rearm,Astral Imprisonment,39.8
Ogre Magi,Blink Strike,58.5
Lina,Arcane Bolt,51.02
Aftershock,Wild Axes,56.8
Strafe,Psi Blades,45.24
Terrorblade,Hunter in the Night,55.78
Shadow Shaman,Cloak and Dagger,58.5
Berserker's Blood,Flesh Golem,57.82
Great Cleave,Coup de Grace,43.2
Lone Druid,Moon Glaives,48.46
Venomancer,Mana Break,41.64
Muerta,Strafe,53.24
Mind Flare,Laser,40.96
Frogstomp,Avalanche,54.27
Omniknight,Exorcism,56.66
Epicenter,Shukuchi,55.29
Slithereen Crush,Blink Strike,48.81
Frost Arrows,Chilling Touch,49.15
Fiend's Grip,Shadow Strike,47.1
Exorcism,Electric Vortex,51.19
Clockwerk,Time Walk,59.04
Razor,Bodyguard,58.7
Mirana,Inner Beast,48.46
Viper,Bodyguard,50.85
Gyrocopter,Guardian Sprint,59.04
Medusa,Meld,57.34
Lifestealer,Rot,56.66
Terrorblade,Feral Impulse,55.29
Pangolier,Empower,50.85
Keeper of the Light,Crippling Fear,39.93
Nature's Prophet,Incapacitating Bite,53.58
Juggernaut,Immaterial,53.24
Guardian Sprint,Elder Dragon Form,43.69
Thundergod's Wrath,Fade Bolt,49.49
Dazzle,Meld,41.98
Mind Flare,Reaper's Scythe,46.76
Monkey King,Static Link,47.95
Arena Of Blood,Avalanche,54.79
Light Strike Array,Wraithfire Blast,52.4
Warlock,Magic Missile,57.19
Jakiro,Doppelganger,57.88
Muerta,Penitence,46.23
Nature's Prophet,Bash of the Deep,58.22
Invoker,Arc Lightning,42.47
Light Strike Array,Split Earth,52.74
Meld,Impetus,43.84
Lina,Burning Spear,56.16
Starstorm,Cloak and Dagger,51.71
Dragon Knight,Reactive Armor,57.53
Phoenix,Burning Spear,47.26
Invoker,Focus Fire Facet,39.38
Mars,Overgrowth,57.19
Arc Warden,Jinada,49.32
Chain Frost,Tombstone,56.51
Rupture,Toss,46.58
Mana Break,Juxtapose,52.05
Keeper of the Light,Plague Ward,45.55
Meat Hook,Toss,48.29
Overload,Quill Spray,44.18
Black Hole,Time Walk,52.4
Rubick,Sacred Arrow,48.97
Immaterial,Omnislash,48.29
Techies,Fervor,55.82
Omnislash,Bash of the Deep,53.77
Amphibian Rhapsody,Tether,56.51
Meat Hook,Power Cogs,55.14
Feast of Souls,God's Strength,49.83
Tree Dance,Jingu Mastery,42.61
Dark Willow,Dream Coil,51.2
Finger of Death,Blink Strike,49.14
Shadow Demon,Fiery Soul,54.64
Keeper of the Light,Impalement Arts,45.02
Viper,Frost Arrows,45.7
Legion Commander,Phantom Strike,54.64
Terrorblade,Elder Dragon Form,44.67
Slark,Unknown Ability #1517,52.58
Viper,Wyrm's Wrath,54.64
Omniknight,Grow,51.2
Mana Drain,Meat Hook,47.08
Corrosive Weaponry,Headshot,55.67
Dark Seer,Diabolic Edict,47.08
Snapfire,Bash of the Deep,50.86
Hoodwink,Chaos Strike,62.89
Gyrocopter,Frost Arrows,62.2
Drow Ranger,Searing Arrows,57.73
Fate's Edict,Purifying Flames,43.99
Tusk,Blink Strike,55.33
Rot,Reincarnation,60.48
Muerta,Bloodlust,54.98
Ringmaster,Earth Spike,58.08
Leap,Static Link,52.23
Gush,Macropyre,52.92
Lina,Sand Storm,50.17
Outworld Devourer,Arcane Bolt,53.95
Grave Chill,Soul Assumption,44.83
Gyrocopter,Doppelganger,52.07
Elder Dragon Form,Incapacitating Bite,48.62
Tinker,Split Earth,47.24
Storm Surge,Reincarnation,54.48
Rubick,Meat Hook,52.76
Outworld Devourer,Nether Blast,45.17
Timbersaw,Blade Fury,55.86
Magnus,Storm Hammer,53.45
Terrorblade,God's Strength,57.93
Omniknight,Heartstopper Aura,57.59
Lina,Midnight Pulse,57.24
Fiend's Grip,Meat Hook,51.38
Witch Doctor,Sacred Arrow,54.48
Fire Spirits,Sun Ray,46.55
Noxious Plague,Avalanche,60.0
Clinkz,Fiery Soul,47.93
Luna,Doppelganger,57.59
Pudge,Storm Surge,44.48
Earth Spirit,Aftershock,54.83
Mind Flare,Brain Sap,50.34
Muerta,Time Lock,48.1
Lone Druid,Incapacitating Bite,52.25
Blade Fury,Rocket Barrage,56.75
Treant Protector,Stifling Dagger,47.06
Troll Warlord,Fiery Soul,47.75
Tree Grab,Coup de Grace,51.56
Alchemist,Infest,45.67
Hammer of Purity,Unknown Ability #1518,53.63
Pulverize,Split Earth,48.1
Legion Commander,Blade Fury,53.98
Drow Ranger,Headshot,50.17
Magnus,Meat Hook,48.1
Rubick,Thundergod's Wrath,49.83
Warlock,Powershot,50.52
Fiery Soul,Dream Coil,53.98
Bloodseeker,Empower,59.52
Clockwerk,Meat Hook,52.94
Jakiro,Coup de Grace,46.71
Magic Missile,Paralyzing Cask,55.02
Witch Doctor,Vengeance Aura,62.63
Mortal Strike,Blink Strike,46.71
Grimstroke,The Swarm,52.25
Wraith King,Berserker's Blood,58.13
Dream Coil,Tricks of the Trade,38.41
Mars,Uproar,54.33
Clinkz,Coup de Grace,37.15
Rupture,Blade Fury,53.82
Pugna,Wild Axes,56.6
Arc Warden,Poison Sting,57.64
Impalement Arts,Echo Slam,54.51
Omnislash,Leap,55.21
Finger of Death,Crypt Swarm,40.62
Boundless Strike,Tree Dance,52.43
Vengeful Spirit,Saltwater Shiv,47.22
Largo,Cloak and Dagger,57.29
Leshrac,Storm Hammer,62.5
Techies,Rage,55.9
Arc Warden,Curse of Avernus,54.86
Drow Ranger,Nightmare,51.04
Pulse Nova,Crippling Fear,57.99
Storm Hammer,Death Ward,45.49
Primal Beast,Counter Helix,48.96
Gyrocopter,Headshot,45.14
Cloak and Dagger,Thunder Strike,59.72
Nightmare,Shadowraze,47.92
Lion,Magic Missile,54.51
Dark Willow,Frost Arrows,55.05
Sniper,Untouchable,63.41
Monkey King,Chaos Strike,54.36
Marksmanship,Shackleshot,46.69
Shadow Fiend,Hex,60.98
Astral Spirit,Coup de Grace,51.57
Ogre Magi,Reality Rift,55.75
Presence of the Dark Lord,Mortal Strike,54.7
Strafe,Mana Break,44.6
Vengeful Spirit,Blade Dance,47.74
Savage Roar,True Form,43.55
Ogre Magi,Pulverize,60.28
Ether Shock,Cloak and Dagger,51.22
Dispersion,Retaliate,57.84
Aftershock,Blink Strike,48.78
Ghostship,Earth Spike,54.7
Pugna,Lightning Bolt,53.66
Bloodrage,Dream Coil,45.99
Presence of the Dark Lord,God's Strength,50.87
Retaliate,Quill Spray,48.78
Blade Fury,Slithereen Crush,55.05
Pangolier,Great Cleave,48.78
Huskar,Crippling Fear,47.74
Frogstomp,Death Ward,52.61
Centaur Warrunner,Untouchable,51.92
Arc Warden,Mirror Image,55.75
Ancient Apparition,Poison Attack,45.64
Ogre Magi,Battery Assault,56.79
Frogstomp,Black Hole,46.34
Aftershock,Proximity Mines,64.81
Skywrath Mage,Reaper's Scythe,49.48
Nature's Prophet,Focus Fire Facet,48.78
Ogre Magi,Kraken Shell,53.85
Powershot,Reaper's Scythe,43.36
Natural Order,Sleight of Fist,54.55
Warlock,Earth Spike,57.34
Burrowstrike,Dragon Tail,53.5
Gyrocopter,Immaterial,57.34
Lone Druid,Bodyguard,54.2
Grimstroke,Assassinate,47.55
Tinker,Nether Ward,57.69
Magic Missile,Chain Frost,55.24
Rubick,Noxious Plague,56.99
Pugna,Rearm,49.3
Bloodrage,Arc Lightning,47.55
Rearm,Homing Missile,44.41
Jakiro,Focus Fire Facet,41.26
Silencer,Hex,47.9
Medusa,Coup de Grace,55.94
Tusk,Berserker's Blood,55.59
Dream Coil,Vengeance Aura,59.44
Dark Seer,Aftershock,58.74
Rubick,Laser,44.06
Gyrocopter,Dream Coil,53.15
Enchantress,Elder Dragon Form,54.55
Tinker,Avalanche,61.19
Disruptor,Sacred Arrow,47.2
Dragon Knight,Blade Fury,64.69
Lina,Gush,52.8
Assassinate,Wild Axes,49.3
Centaur Warrunner,Frost Shield,53.85
Brain Sap,Reaper's Scythe,50.0
Ghoul Frenzy,God's Strength,51.4
Ghostship,Sacred Arrow,54.9
Sniper,Corrosive Haze,55.59
Medusa,Heavenly Jump,59.09
Bloodrage,Assassinate,39.16
Timbersaw,Pulse Nova,47.9
Tidehunter,Arena Of Blood,54.2
Naga Siren,Omnislash,51.58
Frogstomp,Fiend's Grip,63.51
Naga Siren,Mana Break,55.09
Juggernaut,Inner Beast,48.07
Bane,Magic Missile,55.44
Dazzle,Infernal Blade,52.63
Gush,Chaotic Offering,62.11
Static Link,Focus Fire Facet,45.26
Warlock,Sacred Arrow,50.88
Clockwerk,Cloak and Dagger,54.74
Luna,Inner Beast,56.84
Sven,Berserker's Blood,56.84
Exorcism,Corrosive Skin,54.74
Slark,Bloodrage,43.51
Death Ward,Split Earth,45.96
Rubick,Proximity Mines,54.39
Pudge,Uproar,53.68
Void Spirit,Crippling Fear,53.33
Kraken Shell,Heartstopper Aura,45.26
Nature's Prophet,Elder Dragon Form,51.23
Spectre,Mana Break,42.11
Alchemist,Scorched Earth,50.53
Ball Lightning,Arcane Aura,47.02
Muerta,Doppelganger,57.54
Echo Slash,Enchant Totem,45.07
Silencer,Thundergod's Wrath,44.01
Lion,Gush,51.06
Wraith King,Great Cleave,51.76
Vengeful Spirit,Corrosive Weaponry,48.59
Tinker,Ice Path,52.82
Lich,Storm Hammer,50.35
Laguna Blade,Earth Spike,58.8
Lone Druid,Fiery Soul,45.77
Magnus,Slithereen Crush,52.46
Pudge,Kraken Shell,44.37
Drow Ranger,Ghoul Frenzy,59.86
Medusa,Elder Dragon Form,61.27
Omniknight,Counter Helix,61.62
Fiery Soul,Poison Touch,52.82
Reincarnation,Kraken Shell,49.65
Storm Spirit,Fiery Soul,40.85
Chen,Infernal Blade,46.83
Shadow Demon,Magic Missile,56.34
Nature's Prophet,Mortal Strike,50.35
Juggernaut,Tricks of the Trade,43.31
Ember Spirit,True Form,50.7
Omniknight,Eye of the Storm,52.46
Uproar,Counter Helix,56.18
Jakiro,Hex,51.59
Batrider,Dream Coil,50.53
Dragon Knight,Quill Spray,54.42
Leshrac,Tame the Beasts,53.71
Dazzle,Hammer of Purity,43.82
Marksmanship,Take Aim,43.46
Clinkz,Headshot,36.75
Visage,Thundergod's Wrath,46.29
Reactive Tazer,God's Strength,53.36
Keeper of the Light,Frost Arrows,45.94
Juggernaut,Fiery Soul,46.29
Battle Hunger,Enfeeble,48.76
Queen of Pain,Poison Attack,52.3
Fiend's Grip,Laser,56.89
Juggernaut,Guardian Sprint,50.53
Windranger,Elder Dragon Form,44.88
Omniknight,Berserker's Call,62.19
Ogre Magi,Storm Surge,57.95
Ogre Magi,Counter Helix,58.3
Skywrath Mage,Light Strike Array,52.3
Void Spirit,Searing Chains,54.96
Rubick,Fiend's Grip,49.29
Oracle,Storm Hammer,53.55
Death Prophet,Impetus,51.06
Great Cleave,Tricks of the Trade,42.55
Vengeful Spirit,Tree Grab,45.74
Sacred Arrow,Frostbite,50.0
Omnislash,Presence of the Dark Lord,55.32
Morphling,Juxtapose,58.16
Penitence,Fury Swipes,50.71
Leshrac,Blade Fury,65.96
Arc Warden,Searing Arrows,47.52
Razor,Juxtapose,53.9
Fiend's Grip,Avalanche,54.61
Reaper's Scythe,Decrepify,48.58
Dragon Knight,Retaliate,55.67
Snapfire,Marksmanship,40.07
Blink,Fiend's Grip,60.64
Gush,Death Ward,53.9
Troll Warlord,Corrosive Weaponry,42.91
Earth Spike,Cold Feet,58.51
Gyrocopter,Coup de Grace,54.61
Sniper,Astral Spirit,56.74
Techies,Repel,52.48
Finger of Death,Waveform,46.81
Enchant Totem,Presence of the Dark Lord,49.65
Disruptor,Chaos Bolt,48.58
Ringmaster,Storm Hammer,51.77
Life Drain,Tether,48.23
Timbersaw,Eye of the Storm,46.81
Razor,Corrosive Weaponry,55.32
Necrophos,Freezing Field,49.29
Gyrocopter,Incapacitating Bite,51.77
Uproar,Lunar Orbit,52.84
Queen of Pain,Fury Swipes,51.42
Huskar,Crystal Nova,52.13
Invoker,Impetus,38.08
Mirana,Strafe,41.99
Shadow Fiend,Waveform,58.72
Enigma,Blink,54.09
Void Spirit,Electric Vortex,54.09
Moon Glaives,Conjure Image,54.8
Uproar,Life Break,53.38
Jakiro,Refraction,55.87
Arc Warden,Insatiable Hunger,55.16
Arc Warden,Greater Bash,48.75
Lina,Crystal Nova,48.04
Batrider,Battle Hunger,51.25
Muerta,Fiery Soul,56.23
Windranger,Heavenly Jump,58.72
Trample,Guardian Sprint,49.47
Black Hole,Icarus Dive,54.45
Arc Warden,God's Strength,51.96
Dark Seer,Frostbite,52.31
Earth Spike,Mass Serpent Ward,54.8
Leap,Corrosive Haze,55.16
Phantom Rush,Tree Grab,48.75
Hoodwink,Headshot,43.77
Enchantress,Assassinate,53.74
